"rank","Name","Population","pop2010","growth","density","aland_sqmi"
"1","Albuquerque","562281","546755","0.0284","3003","187.2150"
"2","Las Cruces","104672","98284","0.0650","1361","76.9340"
"3","Rio Rancho","101570","87977","0.1545","982","103.4210"
"4","Santa Fe","85627","81012","0.0570","1639","52.2330"
"5","Roswell","47589","48463","-0.0180","1601","29.7160"
"6","Farmington","43278","46042","-0.0600","1256","34.4610"
"7","Hobbs","41085","34088","0.2053","1556","26.3990"
"8","South Valley","40080","40976","-0.0219","1381","29.0190"
"9","Clovis","37765","38278","-0.0134","1599","23.6120"
"10","Alamogordo","32734","30679","0.0670","1530","21.3900"
"11","Carlsbad","30922","26276","0.1768","991","31.2090"
"12","Gallup","21115","21798","-0.0313","1056","19.9900"
"13","Sunland Park","18682","14332","0.3035","1435","13.0160"
"14","Los Lunas","16583","15115","0.0971","885","18.7300"
"15","Chaparral","14437","14631","-0.0133","244","59.0640"
"16","Deming","13644","14806","-0.0785","817","16.7030"
"17","North Valley","13449","11333","0.1867","1935","6.9510"
"18","Las Vegas","12687","14047","-0.0968","1622","7.8230"
"19","Los Alamos","12666","12019","0.0538","1139","11.1250"
"20","Artesia","12558","11538","0.0884","1143","10.9850"
"21","Lovington","11863","11039","0.0746","1044","11.3610"
"22","Portales","11300","12416","-0.0899","1423","7.9430"
"23","Bernalillo","11289","8335","0.3544","2310","4.8870"
"24","Espanola","10022","10279","-0.0250","1286","7.7950"
"25","Anthony","9163","9487","-0.0342","3394","2.7000"
"26","Silver City","9162","10255","-0.1066","905","10.1190"
"27","Shiprock","9020","8295","0.0874","668","13.5110"
"28","Grants","8866","9231","-0.0395","595","14.9130"
"29","Corrales","8778","8380","0.0475","814","10.7790"
"30","Socorro","8274","9010","-0.0817","572","14.4540"
"31","Ruidoso","8013","8032","-0.0024","498","16.0770"
"32","Bloomfield","7485","8169","-0.0837","404","18.5480"
"33","Belen","7430","7602","-0.0226","392","18.9550"
"34","Zuni Pueblo","7001","6302","0.1109","791","8.8520"
"35","North Hobbs","6301","5391","0.1688","242","26.0410"
"36","Aztec","6197","6747","-0.0815","492","12.6080"
"37","Edgewood","6131","5902","0.0388","108","56.7960"
"38","Los Ranchos de Albuquerque","6120","6073","0.0077","1375","4.4520"
"39","Los Chaves","6109","5446","0.1217","595","10.2750"
"40","Taos","5887","6041","-0.0255","980","6.0070"
"41","Eldorado at Santa Fe","5823","6130","-0.0501","280","20.7740"
"42","Raton","5802","6862","-0.1545","729","7.9610"
"43","White Rock","5751","5725","0.0045","814","7.0660"
"44","Lee Acres","5735","5858","-0.0210","442","12.9870"
"45","Truth or Consequences","5567","6491","-0.1424","199","27.9960"
"46","Santa Teresa","5515","4258","0.2952","551","10.0040"
"47","Tucumcari","4871","5384","-0.0953","512","9.5100"
"48","Placitas","4686","4977","-0.0585","158","29.7100"
"49","Paradise Hills","4656","4256","0.0940","4551","1.0230"
"50","Rio Communities","4538","4736","-0.0418","590","7.6940"
"51","El Cerro Mission","4170","4657","-0.1046","709","5.8810"
"52","Holloman AFB","4096","3054","0.3412","326","12.5530"
"53","Bosque Farms","3900","3983","-0.0208","991","3.9350"
"54","Meadow Lake","3832","4708","-0.1861","332","11.5410"
"55","La Cienega","3732","3819","-0.0228","327","11.4120"
"56","Milan","3671","3637","0.0093","846","4.3390"
"57","Peralta","3600","3661","-0.0167","810","4.4430"
"58","Sandia Heights","3571","3193","0.1184","1893","1.8860"
"59","El Cerro","3202","2953","0.0843","759","4.2160"
"60","Eunice","3144","2912","0.0797","797","3.9440"
"61","Vado","3099","3194","-0.0297","1041","2.9780"
"62","Tularosa","3078","2871","0.0721","1092","2.8190"
"63","University Park","2945","4192","-0.2975","1919","1.5350"
"64","West Hammond","2777","2790","-0.0047","357","7.7780"
"65","Dulce","2750","2743","0.0026","215","12.8070"
"66","Agua Fria","2734","2800","-0.0236","1128","2.4240"
"67","Chimayo","2641","3177","-0.1687","307","8.5890"
"68","Clayton","2621","2970","-0.1175","337","7.7830"
"69","Santa Rosa","2600","2852","-0.0884","520","4.9990"
"70","Ruidoso Downs","2568","2767","-0.0719","678","3.7900"
"71","Cannon AFB","2475","2245","0.1024","422","5.8650"
"72","Crownpoint","2419","2278","0.0619","343","7.0480"
"73","Lordsburg","2354","2789","-0.1560","279","8.4250"
"74","La Mesilla","2314","1772","0.3059","520","4.4540"
"75","Santo Domingo Pueblo","2292","2456","-0.0668","1125","2.0380"
"76","San Felipe Pueblo","2217","2404","-0.0778","185","11.9830"
"77","Jal","2185","2048","0.0669","453","4.8230"
"78","Ranchos de Taos","2178","2518","-0.1350","618","3.5270"
"79","Boles Acres","2173","1638","0.3266","179","12.1710"
"80","Bayard","2071","2323","-0.1085","2178","0.9510"
"81","San Ysidro","2060","2090","-0.0144","779","2.6450"
"82","Pojoaque","2027","1907","0.0629","464","4.3680"
"83","Jarales","2026","2475","-0.1814","232","8.7170"
"85","Valencia","2018","2192","-0.0794","1017","1.9840"
"84","Jemez Pueblo","2018","1788","0.1286","988","2.0420"
"86","El Valle de Arroyo Seco","2009","1440","0.3951","387","5.1870"
"87","Tome","1988","1867","0.0648","402","4.9480"
"88","Berino","1877","1441","0.3026","2020","0.9290"
"89","Moriarty","1846","1987","-0.0710","266","6.9350"
"90","Nambe","1820","1818","0.0011","209","8.6940"
"91","Arenas Valley","1813","1522","0.1912","446","4.0660"
"92","Mesilla","1804","1907","-0.0540","326","5.5290"
"93","Arroyo Seco","1794","1785","0.0050","263","6.8260"
"94","Questa","1753","1773","-0.0113","343","5.1130"
"95","Santa Clara","1727","1900","-0.0911","1264","1.3660"
"96","Las Maravillas","1723","1628","0.0584","1706","1.0100"
"97","Keeler Farm","1706","1305","0.3073","150","11.3910"
"98","Flora Vista","1688","2191","-0.2296","366","4.6130"
"99","Upper Fruitland","1686","1662","0.0144","224","7.5210"
"100","Black Rock","1656","1323","0.2517","980","1.6890"
"101","Hatch","1648","1653","-0.0030","521","3.1630"
"102","Thoreau","1641","1865","-0.1201","103","15.9130"
"103","Waterflow","1623","1670","-0.0281","189","8.6030"
"104","Spencerville","1609","1258","0.2790","481","3.3470"
"105","La Huerta","1608","1246","0.2905","1032","1.5580"
"106","Monterey Park","1600","1567","0.0211","605","2.6450"
"107","Columbus","1599","1689","-0.0533","343","4.6660"
"108","Estancia","1567","1637","-0.0428","254","6.1680"
"109","Sausal","1566","1056","0.4830","693","2.2600"
"110","Sandia Knolls","1475","1208","0.2210","526","2.8020"
"111","Radium Springs","1467","1699","-0.1366","246","5.9660"
"112","Navajo","1450","1645","-0.1185","644","2.2530"
"113","Capitan","1439","1489","-0.0336","442","3.2590"
"114","Taos Pueblo","1425","1135","0.2555","91","15.6000"
"115","San Rafael","1413","933","0.5145","137","10.3190"
"116","Loving","1405","1383","0.0159","1200","1.1710"
"117","Pecos","1308","1401","-0.0664","750","1.7450"
"118","Carnuel","1305","1232","0.0593","245","5.3180"
"119","Fairacres","1294","824","0.5704","614","2.1090"
"120","Elephant Butte","1278","1438","-0.1113","306","4.1790"
"121","Ohkay Owingeh","1256","1143","0.0989","327","3.8390"
"122","Dexter","1251","1265","-0.0111","1716","0.7290"
"123","White Sands","1246","1651","-0.2453","363","3.4310"
"124","Mescalero","1244","1338","-0.0703","70","17.8880"
"125","La Luz","1222","1697","-0.2799","114","10.6840"
"126","Hagerman","1220","1245","-0.0201","900","1.3560"
"127","Atoka","1193","1077","0.1077","176","6.7600"
"128","El Rancho","1183","1199","-0.0133","564","2.0990"
"129","Ponderosa Pine","1159","1195","-0.0301","144","8.0720"
"130","Dona Ana","1158","1211","-0.0438","1812","0.6390"
"131","San Antonito","1150","985","0.1675","471","2.4440"
"132","Hurley","1146","1291","-0.1123","1124","1.0200"
"133","Twin Lakes","1117","1052","0.0618","124","9.0180"
"135","Laguna","1075","1241","-0.1338","98","10.9300"
"134","Indian Hills","1075","892","0.2052","188","5.7110"
"136","Skyline-Ganipa","1055","1224","-0.1381","171","6.1640"
"137","Angel Fire","1052","1214","-0.1334","37","28.7970"
"138","Texico","1043","1123","-0.0712","1258","0.8290"
"139","San Pablo","1019","806","0.2643","837","1.2170"
"140","Tesuque","1008","925","0.0897","177","5.6800"
"141","La Union","994","1106","-0.1013","240","4.1420"
"142","Logan","991","1045","-0.0517","94","10.5960"
"144","Sedillo","986","802","0.2294","359","2.7460"
"143","Chama","986","1026","-0.0390","369","2.6690"
"145","San Miguel","978","1153","-0.1518","427","2.2910"
"146","La Puebla","952","1186","-0.1973","313","3.0420"
"148","Zia Pueblo","939","737","0.2741","35","27.0300"
"147","McIntosh","939","1484","-0.3673","42","22.2690"
"149","Talpa","934","778","0.2005","712","1.3110"
"150","Carrizozo","933","994","-0.0614","112","8.3610"
"151","Adelino","919","823","0.1166","339","2.7100"
"152","High Rolls","910","834","0.0911","59","15.4130"
"153","Paraje","903","777","0.1622","162","5.5760"
"154","Chamita","899","870","0.0333","233","3.8510"
"155","Church Rock","887","1128","-0.2137","385","2.3020"
"156","Springer","886","1041","-0.1489","402","2.2040"
"157","Magdalena","870","937","-0.0715","140","6.2240"
"158","Fort Sumner","867","1040","-0.1663","262","3.3150"
"159","Mountainair","865","939","-0.0788","547","1.5810"
"161","Midway","861","971","-0.1133","346","2.4850"
"160","Cimarron","861","1017","-0.1534","428","2.0100"
"162","Tatum","857","793","0.0807","541","1.5850"
"163","Alamo","851","1085","-0.2157","22","39.1740"
"164","Mesita","825","804","0.0261","77","10.6970"
"165","Santa Clara Pueblo","820","1018","-0.1945","406","2.0200"
"166","El Rito","808","808","0","197","4.1090"
"167","Mora","807","656","0.2302","100","8.0350"
"168","San Ildefonso Pueblo","803","524","0.5324","182","4.4170"
